Railway: Thameslink Core; Timetable: Thameslink Core Monday 29.06.2026;  Start time: 04:00

Bedford - Brighton [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9N13

Enters at T/F West Hampstead TL,04:23
Arrives at Kentish Town,04:24
Departs from Kentish Town,04:25
Arrives at St. Pancras,04:31
Departs from St. Pancras,04:32
Passes Kings Cross TL (Closed),04:33
Arrives at Farringdon,04:35
Departs from Farringdon,04:36
Passes City Thameslink,04:38
Arrives at Blackfriars,04:39
Departs from Blackfriars,04:40
Exits railway at T/F London Bridge,
allowable exit element(s): 78-21 ,04:42


Bedford - Brighton via E&C P4 [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9W15

Enters at T/F West Hampstead TL,04:44
Passes Kentish Town,04:45
Arrives at St. Pancras,04:51
Departs from St. Pancras,04:52
Passes Kings Cross TL (Closed),04:53
Arrives at Farringdon,04:55
Departs from Farringdon,04:56
Arrives at City Thameslink,04:57
Departs from City Thameslink,04:58
Arrives at Blackfriars,05:00
Departs from Blackfriars,05:01
Passes Elephant & Castle,05:03
Exits railway at T/F Loughborough Junction,
allowable exit element(s): 105-23 ,05:05


Bedford - Brighton [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9T01,9T03,9T05,9T07,9T09,9T11,9T13,9T15,9T17,9T19,9T21,9T23,9T25,9T27,9T29,9T31,9T33,9T35,9T37,9T39,9T41,9T43,9T45,9T47,9T49,9T51,9T53,9T55,9T57,9T59,9T61,9T63,9T65,9T67,9T69,9T71

Enters at T/F West Hampstead TL,05:12,05:42,06:12,06:42,07:12,07:42,08:12,08:42,09:12,09:42,10:12,10:42,11:12,11:42,12:12,12:42,13:12,13:42,14:12,14:42,15:12,15:42,16:12,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12,20:42,21:12,21:42,22:12,22:42
Passes Kentish Town,05:13,05:43,06:13,06:43,07:13,07:43,08:13,08:43,09:13,09:43,10:13,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:13,14:43,15:13,15:43,16:13,16:43,17:13,17:43,18:13,18:43,19:13,19:43,20:13,20:43,21:13,21:43,22:13,22:43
Arrives at St. Pancras,05:19,05:49,06:19,06:49,07:19,07:49,08:19,08:49,09:19,09:49,10:19,10:49,11:19,11:49,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49,17:19,17:49,18:19,18:49,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49
Departs from St. Pancras,05:20,05:50,06:20,06:50,07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:50,20:20,20:50,21:20,21:50,22:20,22:50
Passes Kings Cross TL (Closed),05:21,05:51,06:21,06:51,07:21,07:51,08:21,08:51,09:21,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:21,18:51,19:21,19:51,20:21,20:51,21:21,21:51,22:21,22:51
